timestamp,AJU,BEL,BPS,BSB,BVB,CGB,CGH,CGR,CNF,CWB,FLN,FOR,GIG,GRU,GYN,IGU,IMP,IOS,JOI,JPA,LDB,MAB,MAO,MCP,MCZ,NAT,NVT,PMW,POA,PVH,RAO,RBR,REC,SDU,SJP,SLZ,SSA,STM,THE,UDI,VCP,VIX
RBR,0,0,0,0.022567558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REC,0,0,0,0.050039905,0,0,0.009745385,0,0.045045962,0,0,0.043644331,0.003564758,0.147556077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000366695,0,0,0,0.000429844
SDU,0,0,0,0.017076964,0,0,0.034446613,0,0.048568395,0,0,0,0.000533598,0.001658127,4.19146E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69218E-06,0,0,0,0,0,0,0,0,0,1.89962E-05
SJP,0,0,0,4.23375E-05,0,0,0.011138979,0,0,0,0,0,0.000250456,0.001076848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001456564,0,0,0,0,0,0,0,0,0.002223138,8.93065E-05
SLZ,0,0.001932069,0,0.017981581,0,0,0,0,0,0,0,0.028209301,0.050492836,0.038140116,0,0,0.153872584,0,0,0,0,0,0.000359528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSA,0,0,0,0.023012163,0,0,0.032286785,0,0.00565387,0,0,0.040660464,0,0.08198586,0,0,0,0.002649443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000318064,0,0,0,0,0,0,0,0,0.000718527
STM,0,0,0,0.019441286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE,0,0,0,0.022725428,0,0,0,0,0,0,0,0.024591168,0.000284575,0.009096662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UDI,0,0,0,0.001790021,0,0,0.025844938,0,0,0,0,0,0.000267128,0.003707898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000357432,0.00030254,0,0,0,0,0,0,0,0,0,0.000151164
VCP,0,0,0,0.025836516,0,0,0.001331328,0,0.000113746,1.40075E-05,3.72209E-06,0,8.83409E-05,0.000534205,1.43503E-05,0,0,0,0,0,1.89548E-05,0,0,0,0,7.4354E-05,2.70615E-05,0,0.001013543,0,0,0.000997575,0.000626753,2.78787E-05,0.000488977,0.002391013,0.001489124,0,0,0.00078212,0,0.004199076
VIX,0,0,0,0.049033591,0,0,0.124387021,0,0.087918069,0,0,0.037394425,0.047348299,0.057793657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01204792,0,0,0,0,0,0,0,0,0,0.004199076
